RegNo,Name,Email,Correct,Wrong,MarksObtained,TotalMarks,TimeMinutes,Rank,SubmissionTime,Disqualified
TRV-0004,hehehe,maitreyagupta1a@gmail.com,11,4,,,,1,2026-07-24T11:12:40.461Z,NO
TRV-0005,Anyone,abc@gmail.com,3,1,,,,2,2026-07-24T11:48:56.653Z,NO
TRV-0005,Anyone,abc@gmail.com,0,0,,,,3,2026-07-24T11:49:24.164Z,NO
TRV-0001,Akash Babu,maitreyaguptaa@gmail.com,6,2,6,15,0.4,4,2026-07-24T16:34:29.302Z,NO
TRV-0019,Faith1,121212346@yahoo.com,3,1,4,30,0.34,5,2026-07-26T16:42:12.719Z,NO
TRV-0011,lala12,122233@gmail.com,2,1,2,15,0.14,6,2026-07-24T16:44:17.261Z,NO
TRV-0012,lala122,22233@gmail.com,2,3,2,15,0.23,7,2026-07-24T16:48:44.916Z,NO
TRV-0013,abc,121212@yahoo.com,2,2,2,15,0.24,8,2026-07-24T17:24:14.976Z,NO
TRV-0010,lala1,12233@gmail.com,0,1,0,15,0.1,9,2026-07-24T16:43:15.260Z,NO
TRV-0018,Faith,121212345@yahoo.com,1,1,0,30,0.24,10,2026-07-26T16:38:14.848Z,NO
TRV-0008,yoyo,12@gmail.com,0,0,0,15,4.67,11,2026-07-24T16:33:49.382Z,NO
TRV-0017,Amazon,121212344@yahoo.com,0,2,-4,30,0.3,12,2026-07-26T16:29:18.514Z,NO
TRV-0016,Amazon,12121234@yahoo.com,1,3,-4,30,0.34,13,2026-07-26T16:24:20.673Z,NO
TRV-0020,Faith2,121212356@yahoo.com,3,1,4,30,0.2,,2026-07-26T16:46:08.582Z,NO
TRV-0004,hehehe,maitreyagupta1a@gmail.com,11,4,,,,1,2026-07-24T11:12:40.461Z,NO
TRV-0005,Anyone,abc@gmail.com,3,1,,,,2,2026-07-24T11:48:56.653Z,NO
TRV-0005,Anyone,abc@gmail.com,0,0,,,,3,2026-07-24T11:49:24.164Z,NO
TRV-0001,Akash Babu,maitreyaguptaa@gmail.com,6,2,6,15,0.4,4,2026-07-24T16:34:29.302Z,NO
TRV-0019,Faith1,121212346@yahoo.com,3,1,4,30,0.34,5,2026-07-26T16:42:12.719Z,NO
TRV-0011,lala12,122233@gmail.com,2,1,2,15,0.14,6,2026-07-24T16:44:17.261Z,NO
TRV-0012,lala122,22233@gmail.com,2,3,2,15,0.23,7,2026-07-24T16:48:44.916Z,NO
TRV-0013,abc,121212@yahoo.com,2,2,2,15,0.24,8,2026-07-24T17:24:14.976Z,NO
TRV-0010,lala1,12233@gmail.com,0,1,0,15,0.1,9,2026-07-24T16:43:15.260Z,NO
TRV-0018,Faith,121212345@yahoo.com,1,1,0,30,0.24,10,2026-07-26T16:38:14.848Z,NO
TRV-0008,yoyo,12@gmail.com,0,0,0,15,4.67,11,2026-07-24T16:33:49.382Z,NO
TRV-0017,Amazon,121212344@yahoo.com,0,2,-4,30,0.3,12,2026-07-26T16:29:18.514Z,NO
TRV-0016,Amazon,12121234@yahoo.com,1,3,-4,30,0.34,13,2026-07-26T16:24:20.673Z,NO
TRV-0004,hehehe,maitreyagupta1a@gmail.com,11,4,,,,1,2026-07-24T11:12:40.461Z,NO
TRV-0005,Anyone,abc@gmail.com,3,1,,,,2,2026-07-24T11:48:56.653Z,NO
TRV-0005,Anyone,abc@gmail.com,0,0,,,,3,2026-07-24T11:49:24.164Z,NO
TRV-0001,Akash Babu,maitreyaguptaa@gmail.com,6,2,6,15,0.4,4,2026-07-24T16:34:29.302Z,NO
TRV-0020,Faith2,121212356@yahoo.com,3,1,4,30,0.2,5,2026-07-26T16:46:08.582Z,NO
TRV-0019,Faith1,121212346@yahoo.com,3,1,4,30,0.34,6,2026-07-26T16:42:12.719Z,NO
TRV-0011,lala12,122233@gmail.com,2,1,2,15,0.14,7,2026-07-24T16:44:17.261Z,NO
TRV-0012,lala122,22233@gmail.com,2,3,2,15,0.23,8,2026-07-24T16:48:44.916Z,NO
TRV-0013,abc,121212@yahoo.com,2,2,2,15,0.24,9,2026-07-24T17:24:14.976Z,NO
TRV-0010,lala1,12233@gmail.com,0,1,0,15,0.1,10,2026-07-24T16:43:15.260Z,NO
TRV-0018,Faith,121212345@yahoo.com,1,1,0,30,0.24,11,2026-07-26T16:38:14.848Z,NO
TRV-0008,yoyo,12@gmail.com,0,0,0,15,4.67,12,2026-07-24T16:33:49.382Z,NO
TRV-0017,Amazon,121212344@yahoo.com,0,2,-4,30,0.3,13,2026-07-26T16:29:18.514Z,NO
TRV-0016,Amazon,12121234@yahoo.com,1,3,-4,30,0.34,14,2026-07-26T16:24:20.673Z,NO
