RegNo,Name,Email,Correct,Wrong,MarksObtained,TotalMarks,TimeMinutes,Rank,SubmissionTime,Disqualified
TRV-0025,Akah,a@a.c,-1,4,-1,,11.35,-1,2026-07-26T18:12:30.960Z,YES
TRV-0004,hehehe,maitreyagupta1a@gmail.com,11,4,,,,1,2026-07-24T11:12:40.461Z,NO
TRV-0005,Anyone,abc@gmail.com,3,1,,,,2,2026-07-24T11:48:56.653Z,NO
TRV-0005,Anyone,abc@gmail.com,0,0,,,,3,2026-07-24T11:49:24.164Z,NO
TRV-0021,Faith3,34@g.com,11,3,16,30,0.57,4,2026-07-26T16:50:17.123Z,NO
TRV-0032,aka,w@e.w,5,1,8,30,0.26,5,2026-07-26T18:51:15.365Z,NO
TRV-0028,Baba,f@f.a,5,1,8,30,0.28,6,2026-07-26T18:30:32.628Z,NO
TRV-0001,Akash Babu,maitreyaguptaa@gmail.com,6,2,6,15,0.4,7,2026-07-24T16:34:29.302Z,NO
TRV-0020,Faith2,121212356@yahoo.com,3,1,4,30,0.2,8,2026-07-26T16:46:08.582Z,NO
TRV-0027,Fittest,d@d.c,3,1,4,30,0.26,9,2026-07-26T18:24:23.906Z,NO
TRV-0019,Faith1,121212346@yahoo.com,3,1,4,30,0.34,10,2026-07-26T16:42:12.719Z,NO
TRV-0011,lala12,122233@gmail.com,2,1,2,15,0.14,11,2026-07-24T16:44:17.261Z,NO
TRV-0022,Faith4,a@b.c,2,1,2,30,0.16,12,2026-07-26T16:58:26.265Z,NO
TRV-0012,lala122,22233@gmail.com,2,3,2,15,0.23,13,2026-07-24T16:48:44.916Z,NO
TRV-0013,abc,121212@yahoo.com,2,2,2,15,0.24,14,2026-07-24T17:24:14.976Z,NO
TRV-0024,hahaa,b@b.c,2,1,2,30,0.33,15,2026-07-26T17:07:20.822Z,NO
TRV-0010,lala1,12233@gmail.com,0,1,0,15,0.1,16,2026-07-24T16:43:15.260Z,NO
TRV-0026,akash,c@C.C,1,1,0,30,0.14,17,2026-07-26T18:14:04.947Z,NO
TRV-0018,Faith,121212345@yahoo.com,1,1,0,30,0.24,18,2026-07-26T16:38:14.848Z,NO
TRV-0023,te,b@a.c,1,1,0,30,0.27,19,2026-07-26T17:03:41.225Z,NO
TRV-0008,yoyo,12@gmail.com,0,0,0,15,4.67,20,2026-07-24T16:33:49.382Z,NO
TRV-0017,Amazon,121212344@yahoo.com,0,2,-4,30,0.3,21,2026-07-26T16:29:18.514Z,NO
TRV-0016,Amazon,12121234@yahoo.com,1,3,-4,30,0.34,22,2026-07-26T16:24:20.673Z,NO
